ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type,profit_margin,free_cash_flow,roe,revenue_growth,current_ratio,sub_industry,ethics_flag,ethics_status,ethics_note,roe_pct,profit_margin_pct,revenue_growth_pct,discovery_score,discovery_rank
NVDA,Nvidia,Information Technology,S&P 500,5427683655680,224.09,27692168249.0,NMS,EQUITY,0.62966,46335873024,1.14288,0.852,3.441,Semiconductors,False,Eligible,,0.9642857142857143,0.9910714285714286,0.9732142857142857,0.9761904761904762,1
SNDK,Sandisk,Information Technology,S&P 500,196266344448,1344.29,21072256580.2,NMS,EQUITY,0.56465,7744875008,0.9164,3.716,2.29,"Technology Hardware, Storage & Peripherals",False,Eligible,,0.9441964285714286,0.984375,0.9955357142857143,0.9747023809523809,2
APP,AppLovin,Communication Services,S&P 500,101653446656,303.76,2797447344.0,NMS,EQUITY,0.64575994,3179956224,2.03686,0.528,4.3,Advertising,False,Eligible,,0.9888392857142857,0.9955357142857143,0.9341517857142857,0.9728422619047619,3
TGTX,"TG Therapeutics, Inc.",Health Care,S&P 600 (SmallCap),7576918016,49.5,129065310.0,NCM,EQUITY,0.55218,59134500,1.0028,0.703,4.267,Biotechnology,False,Eligible,,0.9486607142857143,0.9799107142857143,0.96875,0.9657738095238096,4
MU,Micron Technology,Information Technology,S&P 500,1029204672512,911.29,36145005592.4,NMS,EQUITY,0.55906,7639499776,0.66638,3.457,3.425,Semiconductors,False,Eligible,,0.9174107142857143,0.9821428571428571,0.9933035714285714,0.9642857142857143,5
LQDA,Liquidia Corporation,Health Care,S&P 600 (SmallCap),7052405248,78.79,114098950.6,NCM,EQUITY,0.30739,54709124,1.3181599,18.427,2.312,Pharmaceuticals,False,Eligible,,0.9754464285714286,0.9040178571428571,0.9977678571428571,0.9590773809523809,6
WDC,Western Digital,Information Technology,S&P 500,156520169472,454.1,4120230940.0,NMS,EQUITY,0.72947,2318500096,1.30853,0.438,1.329,"Technology Hardware, Storage & Peripherals",False,Eligible,,0.9732142857142857,1.0,0.8928571428571429,0.9553571428571428,7
LLY,Lilly (Eli),Health Care,S&P 500,1087705186304,1220.28,3999333469.2,NYQ,EQUITY,0.33528998,11065900032,1.02286,0.477,1.355,Pharmaceuticals,False,Eligible,,0.953125,0.9285714285714286,0.9029017857142857,0.9281994047619048,8
INSW,"International Seaways, Inc.",Energy,S&P 600 (SmallCap),4575702528,92.38,50785905.0,NYQ,EQUITY,0.61767,69650376,0.37412,1.401,5.944,Oil & Gas Storage & Transportation,False,Eligible,,0.7857142857142857,0.9888392857142857,0.9910714285714286,0.921875,9
SEZL,Sezzle,Financials,S&P 600 (SmallCap),4224194048,125.44,140308403.2,NCM,EQUITY,0.3035,100542000,0.88851,0.517,4.017,Transaction & Payment Processing Services,False,Eligible,,0.9375,0.8995535714285714,0.9229910714285714,0.9200148809523809,10
STX,Seagate Technology,Information Technology,S&P 500,199353679872,878.21,4532810658.2,NMS,EQUITY,0.26108998,1943750016,3.7152898,0.485,1.67,"Technology Hardware, Storage & Peripherals",False,Eligible,,0.9977678571428571,0.8482142857142857,0.9084821428571429,0.9181547619047619,11
PLTR,Palantir Technologies,Information Technology,S&P 500,411019083776,171.04,10736514328.0,NMS,EQUITY,0.49005002,2159104512,0.38097,0.928,7.228,Application Software,False,Eligible,,0.7924107142857143,0.9665178571428571,0.9799107142857143,0.9129464285714285,12
HALO,Halozyme,Health Care,S&P 400 (MidCap),11552961536,101.79,302646099.6,NMS,EQUITY,0.24858999,337308640,1.73674,0.477,2.709,Biotechnology,False,Eligible,,0.984375,0.8325892857142857,0.9029017857142857,0.9066220238095237,13
DAVE,"Dave, Inc.",Financials,S&P 600 (SmallCap),4033163776,316.19,157497400.9,NGM,EQUITY,0.34589002,167170368,1.04779,0.296,4.223,Consumer Finance,False,Eligible,,0.9575892857142857,0.9330357142857143,0.8258928571428571,0.9055059523809524,14
LRCX,Lam Research,Information Technology,S&P 500,408068259840,326.11,3478103377.3,NMS,EQUITY,0.31272,3090484480,0.65066004,0.3,2.629,Semiconductor Materials & Equipment,False,Eligible,,0.9151785714285714,0.9084821428571429,0.8314732142857143,0.8850446428571429,15
AVGO,Broadcom,Information Technology,S&P 500,1979391279104,416.05,7446109257.5,NMS,EQUITY,0.38848,27212249088,0.37280998,0.479,2.238,Semiconductors,False,Eligible,,0.78125,0.9575892857142857,0.90625,0.8816964285714285,16
GOOGL,Alphabet Inc. (Class A),Communication Services,S&P 500,4201472065536,343.54,10859522701.0,NMS,EQUITY,0.54771,22665000960,0.48676,0.242,2.724,Interactive Media & Services,False,Eligible,,0.8805803571428571,0.9743303571428571,0.7857142857142857,0.8802083333333334,17
GOOG,Alphabet Inc. (Class C),Communication Services,S&P 500,4187162935296,342.37,6922122252.5,NMS,EQUITY,0.54771,22665000960,0.48676,0.242,2.724,Interactive Media & Services,False,Eligible,,0.8805803571428571,0.9743303571428571,0.7857142857142857,0.8802083333333334,18
FTNT,Fortinet,Information Technology,S&P 500,118010503168,160.84,926327420.4,NMS,EQUITY,0.28173,2265587456,1.17442,0.256,1.282,Systems Software,False,Eligible,,0.9665178571428571,0.8638392857142857,0.7957589285714286,0.8753720238095237,19
TER,Teradyne,Information Technology,S&P 500,62964674560,402.74,1394233523.8,NMS,EQUITY,0.25766,437381248,0.36465,1.039,2.125,Semiconductor Materials & Equipment,False,Eligible,,0.7723214285714286,0.84375,0.984375,0.8668154761904763,20
HLNE,Hamilton Lane,Financials,S&P 400 (MidCap),6922709504,103.29,88904801.7,NMS,EQUITY,0.32141998,231402752,0.32416,0.565,4.111,Asset Management & Custody Banks,False,Eligible,,0.7299107142857143,0.9129464285714286,0.9575892857142857,0.8668154761904762,21
ANET,Arista Networks,Information Technology,S&P 500,265487794176,210.5,2002196010.0,NYQ,EQUITY,0.38371,3891512576,0.31476,0.377,2.957,Communications Equipment,False,Eligible,,0.7142857142857143,0.9553571428571429,0.8783482142857143,0.8493303571428572,22
MA,Mastercard,Financials,S&P 500,490329014272,559.73,1862059388.3,NYQ,EQUITY,0.46339,16961250304,2.41202,0.141,1.061,Transaction & Payment Processing Services,False,Eligible,,0.9933035714285714,0.9620535714285714,0.5669642857142857,0.8407738095238094,23
KLAC,KLA Corporation,Information Technology,S&P 500,272088367104,208.25,2438438817.5,NMS,EQUITY,0.35574,2624587520,0.87496,0.152,2.876,Semiconductor Materials & Equipment,False,Eligible,,0.9330357142857143,0.9419642857142857,0.6116071428571429,0.8288690476190476,24
AAPL,Apple Inc.,Information Technology,S&P 500,4411090796544,302.25,18233337037.5,NMS,EQUITY,0.27618998,107721875456,1.4875101,0.164,1.003,"Technology Hardware, Storage & Peripherals",False,Eligible,,0.9776785714285714,0.8571428571428571,0.6417410714285714,0.8255208333333334,25
AAMI,Acadian Asset Management Inc.,Financials,S&P 600 (SmallCap),3271834880,92.19,39130045.5,NYQ,EQUITY,0.15168001,234587504,1.0676999,0.453,1.048,Asset Management & Custody Banks,False,Eligible,,0.9620535714285714,0.6138392857142857,0.8973214285714286,0.8244047619047619,26
MCO,Moody's Corporation,Financials,S&P 500,82752806912,477.84,361371278.4,NYQ,EQUITY,0.34252,2579124992,0.76932,0.151,1.19,Financial Exchanges & Data,False,Eligible,,0.9263392857142857,0.9308035714285714,0.6037946428571429,0.8203125,27
APH,Amphenol,Information Technology,S&P 500,209557864448,169.96,1150722678.0,NYQ,EQUITY,0.17729001,3818374912,0.38115,0.55,1.888,Electronic Components,False,Eligible,,0.7946428571428571,0.6964285714285714,0.9486607142857143,0.8132440476190476,28
INCY,Incyte,Health Care,S&P 500,24479805440,120.77,207345182.2,NMS,EQUITY,0.27706,1180664576,0.30667,0.377,4.593,Biotechnology,False,Eligible,,0.6964285714285714,0.859375,0.8783482142857143,0.8113839285714285,29
TXN,Texas Instruments,Information Technology,S&P 500,252595175424,276.59,1869056925.0,NMS,EQUITY,0.31111,3545250048,0.35176,0.228,4.857,Semiconductors,False,Eligible,,0.7633928571428571,0.90625,0.7544642857142857,0.8080357142857143,30
LIF,Life360,Information Technology,S&P 600 (SmallCap),4004760320,49.15,58426079.5,NMS,EQUITY,0.25725,74707752,0.30056,0.378,5.601,Application Software,False,Eligible,,0.6875,0.8392857142857143,0.8816964285714286,0.802827380952381,31
DUOL,Duolingo,Consumer Discretionary,S&P 400 (MidCap),6298835456,134.63,204741265.1,NMS,EQUITY,0.35875,300198016,0.3442,0.183,2.719,Education Services,False,Eligible,,0.7544642857142857,0.9486607142857143,0.6863839285714286,0.7965029761904763,32
ADMA,"ADMA Biologics, Inc.",Health Care,S&P 600 (SmallCap),2190569984,9.78,26790843.0,NGM,EQUITY,0.32981998,54755376,0.41897,0.159,6.972,Biotechnology,False,Eligible,,0.8370535714285714,0.9174107142857143,0.6316964285714286,0.7953869047619048,33
META,Meta Platforms,Communication Services,S&P 500,1474623832064,578.85,11150532262.5,NMS,EQUITY,0.29834998,21553625088,0.29848,0.28,2.226,Interactive Media & Services,False,Eligible,,0.6830357142857143,0.8950892857142857,0.8080357142857143,0.7953869047619048,34
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,S&P 600 (SmallCap),5846515712,293.27,85455945.3,NGM,EQUITY,0.6788,139748880,0.21962,0.337,31.178,Biotechnology,False,Eligible,,0.5178571428571429,0.9977678571428571,0.8694196428571429,0.7950148809523809,35
MSFT,Microsoft,Information Technology,S&P 500,3656561459200,492.43,23130126502.0,NMS,EQUITY,0.40305,16545500160,0.34039003,0.177,1.23,Systems Software,False,Eligible,,0.7477678571428571,0.9598214285714286,0.6774553571428571,0.7950148809523809,36
YOU,"Clear Secure, Inc.",Information Technology,S&P 600 (SmallCap),6267977728,46.16,91824703.2,NYQ,EQUITY,0.14778,418440384,1.19174,0.266,1.04,Application Software,False,Eligible,,0.96875,0.5892857142857143,0.8013392857142857,0.7864583333333334,37
