ticker,longName,GICS Sub-Industry,Index,cohort,marketCap,profitMargins,returnOnEquity,revenueGrowth,currentRatio,OncologyCancerFlag
TGTX,"TG Therapeutics, Inc.",Biotechnology,S&P 600 (SmallCap),Profitable,7693980672,0.55218,1.0028,0.703,4.267,
LQDA,Liquidia Corporation,Pharmaceuticals,S&P 600 (SmallCap),Profitable,6653195776,0.30739,1.3181599,18.427,2.312,
LGND,Ligand Pharmaceuticals Incorporated,Biotechnology,S&P 600 (SmallCap),Profitable,5733281280,0.6788,0.21962,0.337,31.178,
INVA,"Innoviva, Inc.",Pharmaceuticals,S&P 600 (SmallCap),Profitable,1535216640,0.8119,0.36676,0.193,16.007,
ADMA,"ADMA Biologics, Inc.",Biotechnology,S&P 600 (SmallCap),Profitable,2136813824,0.32981998,0.41897,0.159,6.972,
ACAD,ACADIA Pharmaceuticals Inc.,Pharmaceuticals,S&P 600 (SmallCap),Profitable,5200180736,0.33416,0.35743,0.164,3.388,
KRYS,"Krystal Biotech, Inc.",Biotechnology,S&P 400 (MidCap),Profitable,9851084800,0.54818,0.20124,0.241,8.318,
TMDX,"TransMedics Group, Inc.",Health Care Equipment,S&P 600 (SmallCap),Profitable,3144688896,0.22694,0.36285,0.207,6.625,
HRMY,"Harmony Biosciences Holdings, Inc.",Biotechnology,S&P 600 (SmallCap),Profitable,2261319168,0.18884,0.20456,0.303,3.479,
ANIP,"ANI Pharmaceuticals, Inc.",Pharmaceuticals,S&P 600 (SmallCap),Profitable,1765731072,0.1107,0.20459,0.259,2.91,
BLFS,"BioLife Solutions, Inc.",Health Care Supplies,S&P 600 (SmallCap),Profitable,1708800128,0.54346,0.12829,0.215,9.694,
CRVL,CorVel Corporation,Health Care Services,S&P 600 (SmallCap),Profitable,3401785856,0.11724,0.30697,0.107,1.941,
CON,"Concentra Group Holdings Parent, Inc.",Health Care Services,S&P 600 (SmallCap),Profitable,4469496320,0.08688,0.4706,0.1,1.377,
SHC,Sotera Health Company,Health Care Services,S&P 400 (MidCap),Profitable,5282287104,0.13442001,0.27781,0.092,2.796,
LMAT,"LeMaitre Vascular, Inc.",Health Care Equipment,S&P 600 (SmallCap),Profitable,1864301696,0.25024998,0.16774,0.096,16.312,
