ticker,marketCap,price,avgVol10d,avgVol,exchange,quoteType,sector,industry,profitMargins,returnOnEquity,revenueGrowth,currentRatio,freeCashflow,longName,Symbol,Security,GICS Sub-Industry,Index,avgDollarVol
AVTR,9015863296,13.33,7105540,10310917,NYQ,EQUITY,Healthcare,Medical Instruments & Supplies,-0.08809,-0.09701,0.005,1.782,450337504,"Avantor, Inc.",AVTR,Avantor,Life Sciences Tools & Services,S&P 400 (MidCap),94716848.2
BIO,9430287360,352.69,267000,338930,NYQ,EQUITY,Healthcare,Medical Devices,0.085889995,0.0311,-0.001,3.142,283187488,"Bio-Rad Laboratories, Inc.",BIO,Bio-Rad Laboratories,Life Sciences Tools & Services,S&P 400 (MidCap),94168230.0
BRKR,8663150592,56.86,2906070,2493253,NMS,EQUITY,Healthcare,Medical Devices,-0.020350002,-0.029979998,0.052,1.847,179937504,Bruker Corporation,BRKR,Bruker,Health Care Equipment,S&P 400 (MidCap),165239140.2
DOCS,4445454848,24.94,12821320,4934461,NYQ,EQUITY,Healthcare,Health Information Services,0.25481,0.17206,0.073,6.078,239703872,"Doximity, Inc.",DOCS,Doximity,Health Care Technology,S&P 400 (MidCap),319763720.8
HAE,4761266688,104.65,829780,854916,NYQ,EQUITY,Healthcare,Medical Devices,0.07122,0.111999996,0.056,3.08,312840000,Haemonetics Corporation,HAE,Haemonetics,Health Care Supplies,S&P 400 (MidCap),86836477.0
HQY,8593466368,102.79,636530,904995,NMS,EQUITY,Healthcare,Health Information Services,0.17252001,0.11062,0.072,3.437,370328512,"HealthEquity, Inc.",HQY,HealthEquity,Managed Health Care,S&P 400 (MidCap),65428918.7
KRYS,9851084800,332.82,224580,410675,NMS,EQUITY,Healthcare,Biotechnology,0.54818,0.20124,0.241,8.318,151739744,"Krystal Biotech, Inc.",KRYS,Krystal Biotech,Biotechnology,S&P 400 (MidCap),74744715.6
LIVN,4386992128,79.86,863260,721561,NMS,EQUITY,Healthcare,Medical Devices,0.12813,0.15404001,0.108,1.45,64685124,LivaNova PLC,LIVN,LivaNova,Health Care Equipment,S&P 400 (MidCap),68939943.6
LNTH,6544207872,100.26,2136710,1301990,NGM,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,0.1769,0.22215,0.027,3.06,451656000,"Lantheus Holdings, Inc.",LNTH,Lantheus Holdings,Health Care Supplies,S&P 400 (MidCap),214226544.60000002
NVST,4468384768,27.82,3652670,3020729,NYQ,EQUITY,Healthcare,Medical Instruments & Supplies,0.03326,0.030569999,0.071,2.425,275762496,Envista Holdings Corporation,NVST,Envista Holdings,Health Care Supplies,S&P 400 (MidCap),101617279.4
OPCH,3506472704,23.41,2312960,2727706,NMS,EQUITY,Healthcare,Medical Care Facilities,0.03681,0.15999,0.019,1.465,256067872,"Option Care Health, Inc.",OPCH,Option Care Health,Health Care Facilities,S&P 400 (MidCap),54146393.6
RGEN,9376778240,166.15,926950,1122306,NMS,EQUITY,Healthcare,Medical Instruments & Supplies,0.05291,0.0199,0.119,9.05,113421752,Repligen Corporation,RGEN,Repligen,Biotechnology,S&P 400 (MidCap),154012742.5
SHC,5282287104,18.51,3521660,2883598,NMS,EQUITY,Healthcare,Diagnostics & Research,0.13442001,0.27781,0.092,2.796,153967120,Sotera Health Company,SHC,Sotera Health,Health Care Services,S&P 400 (MidCap),65185926.60000001
XRAY,2214821376,11.11,4921410,5673950,NMS,EQUITY,Healthcare,Medical Instruments & Supplies,-0.14987999,-0.33031,-0.041,1.627,141624992,DENTSPLY SIRONA Inc.,XRAY,Dentsply Sirona,Health Care Supplies,S&P 400 (MidCap),54676865.099999994
