Symbol,Security,GICS Sector,GICS Sub-Industry,Index
ARWR,Arrowhead Pharmaceuticals,Health Care,Biotechnology,S&P 400 (MidCap)
AVTR,Avantor,Health Care,Life Sciences Tools & Services,S&P 400 (MidCap)
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,S&P 400 (MidCap)
BMRN,BioMarin Pharmaceutical,Health Care,Biotechnology,S&P 400 (MidCap)
BRKR,Bruker,Health Care,Health Care Equipment,S&P 400 (MidCap)
BTSG,BrightSpring Health Services,Health Care,Health Care Services,S&P 400 (MidCap)
CHE,Chemed Corp.,Health Care,Health Care Services,S&P 400 (MidCap)
CYTK,Cytokinetics,Health Care,Biotechnology,S&P 400 (MidCap)
DOCS,Doximity,Health Care,Health Care Technology,S&P 400 (MidCap)
EHC,Encompass Health,Health Care,Health Care Facilities,S&P 400 (MidCap)
ELAN,Elanco,Health Care,Pharmaceuticals,S&P 400 (MidCap)
ENSG,Ensign Group,Health Care,Health Care Facilities,S&P 400 (MidCap)
EXEL,Exelixis,Health Care,Biotechnology,S&P 400 (MidCap)
GMED,Globus Medical,Health Care,Health Care Equipment,S&P 400 (MidCap)
HAE,Haemonetics,Health Care,Health Care Supplies,S&P 400 (MidCap)
HALO,Halozyme,Health Care,Biotechnology,S&P 400 (MidCap)
HIMS,Hims & Hers Health,Health Care,Health Care Services,S&P 400 (MidCap)
HQY,HealthEquity,Health Care,Managed Health Care,S&P 400 (MidCap)
ILMN,"Illumina, Inc.",Health Care,Life Sciences Tools & Services,S&P 400 (MidCap)
JAZZ,Jazz Pharmaceuticals,Health Care,Pharmaceuticals,S&P 400 (MidCap)
KRYS,Krystal Biotech,Health Care,Biotechnology,S&P 400 (MidCap)
LIVN,LivaNova,Health Care,Health Care Equipment,S&P 400 (MidCap)
LNTH,Lantheus Holdings,Health Care,Health Care Supplies,S&P 400 (MidCap)
MEDP,Medpace,Health Care,Life Sciences Tools & Services,S&P 400 (MidCap)
MOH,Molina Healthcare,Health Care,Managed Health Care,S&P 400 (MidCap)
NBIX,Neurocrine Biosciences,Health Care,Biotechnology,S&P 400 (MidCap)
NVST,Envista Holdings,Health Care,Health Care Supplies,S&P 400 (MidCap)
OPCH,Option Care Health,Health Care,Health Care Facilities,S&P 400 (MidCap)
PEN,"Penumbra, Inc.",Health Care,Health Care Equipment,S&P 400 (MidCap)
RGEN,Repligen,Health Care,Biotechnology,S&P 400 (MidCap)
