ticker,marketCap,price,avgVol10d,avgVol,exchange,quoteType,sector,industry,profitMargins,returnOnEquity,revenueGrowth,currentRatio,freeCashflow,longName,Symbol,Security,GICS Sub-Industry,Index,avgDollarVol
APPF,7381078016,208.405,414160,408956,NGM,EQUITY,Technology,Software - Application,0.15134,0.3209,0.193,3.831,198919872.0,"AppFolio, Inc.",APPF,AppFolio,Application Software,S&P 400 (MidCap),86313014.8
BDC,5044995072,129.1,380740,553664,NYQ,EQUITY,Technology,Communication Equipment,0.08522,0.18643999,0.116,2.135,108234624.0,Belden Inc.,BDC,Belden Inc.,Electronic Components,S&P 400 (MidCap),49153534.0
BILL,4916094464,49.36,2290580,2604461,NYQ,EQUITY,Technology,Software - Application,0.0001,4.0000003e-05,0.135,1.661,167608256.0,"BILL Holdings, Inc.",BILL,Bill Holdings,Application Software,S&P 400 (MidCap),113063028.8
CVLT,5934032384,143.18,513880,755358,NMS,EQUITY,Technology,Software - Application,0.05618,0.32773998,0.114,2.043,303740256.0,"Commvault Systems, Inc.",CVLT,CommVault Systems,Systems Software,S&P 400 (MidCap),73577338.4
CXT,2774454784,48.2,584190,914927,NYQ,EQUITY,Industrials,Specialty Industrial Machinery,0.07782,0.11484,0.22,1.415,239787504.0,"Crane NXT, Co.",CXT,Crane NXT,Electronic Equipment & Instruments,S&P 400 (MidCap),28157958.0
DBX,7486549504,34.43,5004410,4046750,NMS,EQUITY,Technology,Software - Infrastructure,0.17491,,0.009,1.074,783075008.0,"Dropbox, Inc.",DBX,Dropbox,Application Software,S&P 400 (MidCap),172301836.3
DLB,5792946688,61.845,764160,915383,NYQ,EQUITY,Industrials,Specialty Business Services,0.16700001,0.08758,-0.033,3.185,331846016.0,"Dolby Laboratories, Inc.",DLB,Dolby,Application Software,S&P 400 (MidCap),47259475.2
IDCC,8671851520,336.04,205370,327245,NMS,EQUITY,Technology,Software - Application,0.38323003,0.26403,-0.134,1.743,600847744.0,"InterDigital, Inc.",IDCC,InterDigital,Communications Equipment,S&P 400 (MidCap),69012534.8
IPGP,3433813504,80.73,513640,464638,NMS,EQUITY,Technology,Semiconductor Equipment & Materials,0.02577,0.01302,0.111,6.179,48475500.0,IPG Photonics Corporation,IPGP,IPG Photonics,Electronic Manufacturing Services,S&P 400 (MidCap),41466157.2
NOVT,5956676608,157.51,443460,504091,NMS,EQUITY,Technology,Scientific & Technical Instruments,0.05998,0.051090002,0.103,4.569,118383248.0,Novanta Inc.,NOVT,Novanta,Electronic Equipment & Instruments,S&P 400 (MidCap),69849384.6
PATH,8131897344,15.695,73959360,66053348,NYQ,EQUITY,Technology,Software - Infrastructure,0.19578,0.18181999,0.173,2.307,511553632.0,"UiPath, Inc.",PATH,UiPath,Systems Software,S&P 400 (MidCap),1160792155.2
PEGA,5464820736,33.24,1513970,2588117,NMS,EQUITY,Technology,Software - Application,0.18662001,0.54693,0.094,1.059,507401984.0,Pegasystems Inc.,PEGA,Pegasystems,Application Software,S&P 400 (MidCap),50324362.8
QLYS,6474281472,187.145,830770,783985,NMS,EQUITY,Technology,Software - Infrastructure,0.29381,0.38592,0.11,1.384,244382624.0,"Qualys, Inc.",QLYS,Qualys,Systems Software,S&P 400 (MidCap),155474451.65
VNT,4426448384,32.74,1977370,1749814,NYQ,EQUITY,Technology,Scientific & Technical Instruments,0.11342,0.289,-0.022,1.252,347624992.0,Vontier Corporation,VNT,Vontier,Electronic Equipment & Instruments,S&P 400 (MidCap),64739093.8
ACIW,5334474752,52.84,1269830,1042672,NMS,EQUITY,Technology,Software - Infrastructure,0.124,0.15617,0.073,1.582,260535632.0,"ACI Worldwide, Inc.",ACIW,ACI Worldwide,Application Software,S&P 600 (SmallCap),67097817.2
ADEA,3059171328,27.74,866858,1711057,NMS,EQUITY,Technology,Software - Application,0.26053,0.27878,0.121,3.247,195100624.0,Adeia Inc.,ADEA,"Adeia, Inc.",IT Consulting & Other Services,S&P 600 (SmallCap),24046640.92
AGYS,3219690752,114.15,308550,353495,NMS,EQUITY,Technology,Software - Application,0.12986,0.13802,0.143,1.741,57453376.0,"Agilysys, Inc.",AGYS,"Agilysys, Inc.",Application Software,S&P 600 (SmallCap),35220982.5
ARLO,1462464768,13.59,1656640,1264925,NYQ,EQUITY,Industrials,Building Products & Equipment,0.052020002,0.22068001,0.205,1.402,69509248.0,"Arlo Technologies, Inc.",ARLO,Arlo Technologies,Communications Equipment,S&P 600 (SmallCap),22513737.6
ATEN,1892191104,26.06,1330390,1282112,NYQ,EQUITY,Technology,Software - Infrastructure,0.13854,0.19444999,0.155,1.29,61384500.0,"A10 Networks, Inc.",ATEN,"A10 Networks, Inc.",Systems Software,S&P 600 (SmallCap),34669963.4
BHE,2685374208,74.76,273380,464227,NYQ,EQUITY,Technology,Electronic Components,0.018860001,0.047810003,0.177,1.993,136417248.0,"Benchmark Electronics, Inc.",BHE,"Benchmark Electronics, Inc.",Electronic Manufacturing Services,S&P 600 (SmallCap),20437888.8
BL,1807114752,31.09,1382830,1240488,NMS,EQUITY,Technology,Software - Application,0.047480002,0.070300005,0.092,1.721,138621248.0,"BlackLine, Inc.",BL,"BlackLine Systems, Inc.",Application Software,S&P 600 (SmallCap),42992184.7
BMI,3727418624,128.59,306820,477951,NYQ,EQUITY,Technology,Scientific & Technical Instruments,0.14269,0.1848,-0.066,2.422,128289624.0,"Badger Meter, Inc.",BMI,"Badger Meter, Inc.",Electronic Equipment & Instruments,S&P 600 (SmallCap),39453983.8
CALX,2461891840,39.1,740170,1184072,NYQ,EQUITY,Technology,Software - Infrastructure,0.04607,0.06905,0.213,2.83,61477124.0,"Calix, Inc.",CALX,Calix,Application Software,S&P 600 (SmallCap),28940647.0
CLSK,2928998656,11.405,19732270,22698703,NCM,EQUITY,Financial Services,Capital Markets,-1.46901,-0.68622,-0.305,5.912,48898124.0,"CleanSpark, Inc.",CLSK,"CleanSpark, Inc.",Internet Services & Infrastructure,S&P 600 (SmallCap),225046539.35
CNXN,1998605184,79.19,150490,155346,NMS,EQUITY,Technology,Electronics & Computer Distribution,0.03208,0.104320005,0.124,2.88,11910875.0,"PC Connection, Inc.",CNXN,"PC Connection, Inc.",Technology Distributors,S&P 600 (SmallCap),11917303.1
CRSR,1209959296,11.185,3002960,2860519,NMS,EQUITY,Technology,Computer Hardware,0.02535,0.05845,-0.018,1.752,87061376.0,"Corsair Gaming, Inc.",CRSR,Corsair Gaming,"Technology Hardware, Storage & Peripherals",S&P 600 (SmallCap),33588107.6
CTS,1706632448,59.764,158390,289162,NYQ,EQUITY,Technology,Electronic Components,0.12368,0.12429,0.07,2.609,72120000.0,CTS Corporation,CTS,CTS Corporation,Electronic Manufacturing Services,S&P 600 (SmallCap),9466019.96
CXM,1640772608,7.005,2428510,3355330,NYQ,EQUITY,Technology,Software - Application,0.03289,0.05079,0.068,1.434,130164128.0,"Sprinklr, Inc.",CXM,"Sprinklr, Inc.",Application Software,S&P 600 (SmallCap),17011712.55
DBD,2348424960,69.18,260110,304245,NYQ,EQUITY,Technology,Software - Application,0.028719999,0.10944,0.017,1.267,312012512.0,"Diebold Nixdorf, Incorporated",DBD,Diebold Nixdorf,Electronic Equipment & Instruments,S&P 600 (SmallCap),17994409.8
DGII,3056342016,80.54,406850,386443,NMS,EQUITY,Technology,Communication Equipment,0.096269995,0.07459,0.29,1.129,128003128.0,Digi International Inc.,DGII,Digi International Inc.,Communications Equipment,S&P 600 (SmallCap),32767699.000000004
DXC,1730403200,10.83,2951700,4804232,NYQ,EQUITY,Technology,Information Technology Services,0.00993,0.04025,-0.051,1.408,877000000.0,DXC Technology Company,DXC,DXC Technology,IT Consulting & Other Services,S&P 600 (SmallCap),31966911.0
EFOR,1293672960,31.553,795470,1053622,NYQ,EQUITY,Technology,Information Technology Services,0.020920001,0.04571,-0.013,2.127,213500000.0,,EFOR,Everforth Inc.,IT Consulting & Other Services,S&P 600 (SmallCap),25099464.91
EPAM,5318617600,103.1,1553080,1906274,NYQ,EQUITY,Technology,Information Technology Services,0.07151,0.111770004,0.045,2.755,650156096.0,"EPAM Systems, Inc.",EPAM,EPAM Systems,IT Consulting & Other Services,S&P 600 (SmallCap),160122548.0
FIVN,2465129216,32.99,3000610,3003153,NGM,EQUITY,Technology,Software - Infrastructure,0.049390003,0.079169996,0.103,4.149,260481504.0,"Five9, Inc.",FIVN,"Five9, Inc.",Application Software,S&P 600 (SmallCap),98990123.9
HLIT,1385143808,12.7,2123590,2952851,NMS,EQUITY,Technology,Communication Equipment,-0.10619,0.06546,0.535,3.047,74130248.0,Harmonic Inc.,HLIT,Harmonic Inc.,Communications Equipment,S&P 600 (SmallCap),26969593.0
ITRI,4274900480,97.63,597860,808264,NMS,EQUITY,Technology,Scientific & Technical Instruments,0.11895,0.16885,-0.072,2.746,295262240.0,"Itron, Inc.",ITRI,"Itron, Inc.",Electronic Equipment & Instruments,S&P 600 (SmallCap),58369071.8
KN,3050429952,35.715,672400,1040543,NYQ,EQUITY,Technology,Electronic Components,0.106300004,0.094969995,0.143,3.201,39312500.0,Knowles Corporation,KN,Knowles Corporation,Electronic Components,S&P 600 (SmallCap),24014766.000000004
LIF,3605506304,44.25,1433790,809446,NMS,EQUITY,Technology,Software - Application,0.25725,0.30056,0.378,5.601,74707752.0,"Life360, Inc.",LIF,Life360,Application Software,S&P 600 (SmallCap),63445207.5
MIR,3872535552,15.55,3536150,4221517,NYQ,EQUITY,Industrials,Specialty Industrial Machinery,0.0239,0.01511,0.197,3.198,115362496.0,"Mirion Technologies, Inc.",MIR,"Mirion Technologies, Inc.",Electronic Equipment & Instruments,S&P 600 (SmallCap),54987132.5
NSSC,1358889216,38.035,225530,378919,NMS,EQUITY,Industrials,Security & Protection Services,0.18705,0.21744,0.076,4.946,48234624.0,"Napco Security Technologies, Inc.",NSSC,Napco Security Technologies,Electronic Equipment & Instruments,S&P 600 (SmallCap),8578033.549999999
NTCT,2809410560,38.64,673930,647570,NMS,EQUITY,Technology,Software - Infrastructure,0.13706,0.0754,0.127,1.825,226413504.0,"NetScout Systems, Inc.",NTCT,"NETSCOUT Systems, Inc.",Communications Equipment,S&P 600 (SmallCap),26040655.2
