Symbol,Security,GICS Sector,GICS Sub-Industry,Index
APPF,AppFolio,Information Technology,Application Software,S&P 400 (MidCap)
ARW,Arrow Electronics,Information Technology,Technology Distributors,S&P 400 (MidCap)
AVT,Avnet,Information Technology,Technology Distributors,S&P 400 (MidCap)
BDC,Belden Inc.,Information Technology,Electronic Components,S&P 400 (MidCap)
BILL,Bill Holdings,Information Technology,Application Software,S&P 400 (MidCap)
BSY,Bentley Systems,Information Technology,Application Software,S&P 400 (MidCap)
CGNX,Cognex,Information Technology,Electronic Equipment & Instruments,S&P 400 (MidCap)
CVLT,CommVault Systems,Information Technology,Systems Software,S&P 400 (MidCap)
CXT,Crane NXT,Information Technology,Electronic Equipment & Instruments,S&P 400 (MidCap)
DBX,Dropbox,Information Technology,Application Software,S&P 400 (MidCap)
DLB,Dolby,Information Technology,Application Software,S&P 400 (MidCap)
DOCN,DigitalOcean,Information Technology,Internet Services & Infrastructure,S&P 400 (MidCap)
DOCU,Docusign,Information Technology,Application Software,S&P 400 (MidCap)
DT,Dynatrace,Information Technology,Application Software,S&P 400 (MidCap)
FN,Fabrinet,Information Technology,Electronic Manufacturing Services,S&P 400 (MidCap)
GWRE,Guidewire Software,Information Technology,Application Software,S&P 400 (MidCap)
IDCC,InterDigital,Information Technology,Communications Equipment,S&P 400 (MidCap)
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,S&P 400 (MidCap)
KD,Kyndryl,Information Technology,IT Consulting & Other Services,S&P 400 (MidCap)
LFUS,Littelfuse,Information Technology,Electronic Components,S&P 400 (MidCap)
MANH,Manhattan Associates,Information Technology,Application Software,S&P 400 (MidCap)
NOVT,Novanta,Information Technology,Electronic Equipment & Instruments,S&P 400 (MidCap)
NTNX,Nutanix,Information Technology,Systems Software,S&P 400 (MidCap)
OKTA,"Okta, Inc.",Information Technology,Application Software,S&P 400 (MidCap)
P,Everpure,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 400 (MidCap)
PATH,UiPath,Information Technology,Systems Software,S&P 400 (MidCap)
PEGA,Pegasystems,Information Technology,Application Software,S&P 400 (MidCap)
QLYS,Qualys,Information Technology,Systems Software,S&P 400 (MidCap)
SANM,Sanmina Corporation,Information Technology,Electronic Manufacturing Services,S&P 400 (MidCap)
SNX,TD Synnex,Information Technology,Technology Distributors,S&P 400 (MidCap)
TTMI,TTM Technologies,Information Technology,Electronic Manufacturing Services,S&P 400 (MidCap)
TWLO,Twilio,Information Technology,Systems Software,S&P 400 (MidCap)
VIAV,Viavi Solutions,Information Technology,Communications Equipment,S&P 400 (MidCap)
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,S&P 400 (MidCap)
ACIW,ACI Worldwide,Information Technology,Application Software,S&P 600 (SmallCap)
ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services,S&P 600 (SmallCap)
ADIG,ADI Global Distribution,Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
AGYS,"Agilysys, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
ARLO,Arlo Technologies,Information Technology,Communications Equipment,S&P 600 (SmallCap)
ATEN,"A10 Networks, Inc.",Information Technology,Systems Software,S&P 600 (SmallCap)
BHE,"Benchmark Electronics, Inc.",Information Technology,Electronic Manufacturing Services,S&P 600 (SmallCap)
BL,"BlackLine Systems, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
BLKB,Blackbaud,Information Technology,Application Software,S&P 600 (SmallCap)
BMI,"Badger Meter, Inc.",Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
BOX,"Box, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
CALX,Calix,Information Technology,Application Software,S&P 600 (SmallCap)
CLSK,"CleanSpark, Inc.",Information Technology,Internet Services & Infrastructure,S&P 600 (SmallCap)
CNXN,"PC Connection, Inc.",Information Technology,Technology Distributors,S&P 600 (SmallCap)
CRSR,Corsair Gaming,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 600 (SmallCap)
CTS,CTS Corporation,Information Technology,Electronic Manufacturing Services,S&P 600 (SmallCap)
CXM,"Sprinklr, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
DBD,Diebold Nixdorf,Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
DGII,Digi International Inc.,Information Technology,Communications Equipment,S&P 600 (SmallCap)
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,S&P 600 (SmallCap)
EFOR,Everforth Inc.,Information Technology,IT Consulting & Other Services,S&P 600 (SmallCap)
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,S&P 600 (SmallCap)
EXTR,"Extreme Networks, Inc.",Information Technology,Communications Equipment,S&P 600 (SmallCap)
FIVN,"Five9, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
HLIT,Harmonic Inc.,Information Technology,Communications Equipment,S&P 600 (SmallCap)
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
KN,Knowles Corporation,Information Technology,Electronic Components,S&P 600 (SmallCap)
LIF,Life360,Information Technology,Application Software,S&P 600 (SmallCap)
MARA,"MARA Holdings, Inc.",Information Technology,Internet Services & Infrastructure,S&P 600 (SmallCap)
MIR,"Mirion Technologies, Inc.",Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
NABL,"N-able, Inc.",Information Technology,Systems Software,S&P 600 (SmallCap)
NSSC,Napco Security Technologies,Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment,S&P 600 (SmallCap)
OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
PI,"Impinj, Inc.",Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
PLUS,"ePlus, Inc.",Information Technology,Technology Distributors,S&P 600 (SmallCap)
PLXS,Plexus Corp.,Information Technology,Electronic Manufacturing Services,S&P 600 (SmallCap)
PRGS,Progress Software Corporation,Information Technology,Systems Software,S&P 600 (SmallCap)
QTWO,"Q2 Holdings, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
RAMP,"LiveRamp Holdings, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
RAL,Ralliant Corp,Information Technology,Electronic Equipment & Instruments,S&P 600 (SmallCap)
RNG,"RingCentral, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
ROG,Rogers Corporation,Information Technology,Electronic Components,S&P 600 (SmallCap)
SCSC,"ScanSource, Inc.",Information Technology,Technology Distributors,S&P 600 (SmallCap)
SPSC,"SPS Commerce, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
TDC,Teradata,Information Technology,IT Consulting & Other Services,S&P 600 (SmallCap)
VSAT,"Viasat, Inc.",Information Technology,Communications Equipment,S&P 600 (SmallCap)
VSH,Vishay Intertechnology,Information Technology,Electronic Components,S&P 600 (SmallCap)
VYX,NCR Voyix,Information Technology,IT Consulting & Other Services,S&P 600 (SmallCap)
YOU,"Clear Secure, Inc.",Information Technology,Application Software,S&P 600 (SmallCap)
