ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type,exclusion_reasons
CBOE,Cboe Global Markets,Financials,S&P 500,30387337216.0,290.98,299962552.6,BTS,EQUITY,exchange=BTS
CPRI,Capri Holdings,Consumer Discretionary,S&P 400 (MidCap),1767282688.0,15.55,68084120.0,NYQ,EQUITY,market_cap=1767282688
SAM,Boston Beer Company,Consumer Staples,S&P 400 (MidCap),1913782400.0,183.78,37577496.6,NYQ,EQUITY,market_cap=1913782400
AAT,American Assets Trust,Real Estate,S&P 600 (SmallCap),1750034944.0,22.56,9686136.0,NYQ,EQUITY,market_cap=1750034944
ABR,Arbor Realty Trust,Financials,S&P 600 (SmallCap),1058241472.0,5.22,25344979.2,NYQ,EQUITY,market_cap=1058241472
ADAM,"Adamas Trust, Inc.",Real Estate,S&P 600 (SmallCap),913178560.0,10.16,10996168.0,NMS,EQUITY,market_cap=913178560
ADIG,ADI Global Distribution,Information Technology,S&P 600 (SmallCap),1911959808.0,25.24,30708750.799999997,NYQ,EQUITY,market_cap=1911959808
ADNT,Adient,Consumer Discretionary,S&P 600 (SmallCap),1435544832.0,18.62,20725922.0,NYQ,EQUITY,market_cap=1435544832
AESI,"Atlas Energy Solutions, Inc.",Energy,S&P 600 (SmallCap),1467540480.0,11.74,45693371.4,NYQ,EQUITY,market_cap=1467540480
AGNT,"eXp World Holdings, Inc.",Real Estate,S&P 600 (SmallCap),703306432.0,4.28,6540610.4,NGM,EQUITY,market_cap=703306432; price=4.28
AHCO,AdaptHealth Corp.,Health Care,S&P 600 (SmallCap),785032384.0,5.77,37999777.5,NCM,EQUITY,market_cap=785032384
AIN,Albany International Corp.,Industrials,S&P 600 (SmallCap),1810180864.0,63.84,27474182.400000002,NYQ,EQUITY,market_cap=1810180864
AMN,"Amn Healthcare Services, Inc.",Health Care,S&P 600 (SmallCap),1256400896.0,32.44,31950480.4,NYQ,EQUITY,market_cap=1256400896
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,S&P 600 (SmallCap),849908096.0,19.98,10692297.0,NMS,EQUITY,market_cap=849908096
AMSF,"Amerisafe, Inc.",Financials,S&P 600 (SmallCap),521274144.0,27.87,9014272.8,NMS,EQUITY,market_cap=521274144
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,S&P 600 (SmallCap),1725417984.0,75.115,34326803.849999994,NGM,EQUITY,market_cap=1725417984
AORT,Artivion,Health Care,S&P 600 (SmallCap),1396378112.0,28.64,23737977.6,NYQ,EQUITY,market_cap=1396378112
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,S&P 600 (SmallCap),1085844992.0,36.28,17164068.0,NMS,EQUITY,market_cap=1085844992
APOG,"Apogee Enterprises, Inc.",Industrials,S&P 600 (SmallCap),896710592.0,42.97,6315730.6,NMS,EQUITY,market_cap=896710592
ARLO,Arlo Technologies,Information Technology,S&P 600 (SmallCap),1499053312.0,13.93,22920561.3,NYQ,EQUITY,market_cap=1499053312
ASTE,"Astec Industries, Inc.",Industrials,S&P 600 (SmallCap),994005120.0,43.17,16899759.900000002,NMS,EQUITY,market_cap=994005120
ASTH,"Astrana Health, Inc.",Health Care,S&P 600 (SmallCap),1775340416.0,35.79,21257828.4,NCM,EQUITY,market_cap=1775340416
ATEN,"A10 Networks, Inc.",Information Technology,S&P 600 (SmallCap),1996022016.0,27.49,42935806.3,NYQ,EQUITY,market_cap=1996022016
