ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type
MMM,3M,Industrials,S&P 500,94779465728,183.78,475063948.8,NYQ,EQUITY
AOS,A. O. Smith,Industrials,S&P 500,8506518016,62.59,114860786.7,NYQ,EQUITY
ABT,Abbott Laboratories,Health Care,S&P 500,193184497664,110.91,865188946.1999999,NYQ,EQUITY
ABBV,AbbVie,Health Care,S&P 500,439588093952,248.76,1400401882.8,NYQ,EQUITY
ACN,Accenture,Information Technology,S&P 500,110235246592,180.14,1049358733.5999999,NYQ,EQUITY
ADBE,Adobe Inc.,Information Technology,S&P 500,102853124096,258.75,1230715912.5,NMS,EQUITY
AMD,Advanced Micro Devices,Information Technology,S&P 500,788371144704,482.93,14180838618.1,NMS,EQUITY
AES,AES Corporation,Utilities,S&P 500,10490549248,14.71,113303333.7,NYQ,EQUITY
AFL,Aflac,Financials,S&P 500,60527177728,120.73,259954628.70000002,NYQ,EQUITY
A,Agilent Technologies,Health Care,S&P 500,41867710464,148.24,227785584.0,NYQ,EQUITY
APD,Air Products,Materials,S&P 500,67711991808,304.07,314827996.59999996,NYQ,EQUITY
ABNB,Airbnb,Consumer Discretionary,S&P 500,107838308352,180.095,1129719726.45,NMS,EQUITY
AKAM,Akamai Technologies,Information Technology,S&P 500,17645524992,122.78,519920504.6,NMS,EQUITY
ALB,Albemarle Corporation,Materials,S&P 500,15144768512,128.34,328880233.8,NYQ,EQUITY
ARE,Alexandria Real Estate Equities,Real Estate,S&P 500,8270899200,48.06,98349984.0,NYQ,EQUITY
ALGN,Align Technology,Health Care,S&P 500,12362000384,174.015,168014962.79999998,NMS,EQUITY
ALLE,Allegion,Industrials,S&P 500,14125460480,166.11,174980274.0,NYQ,EQUITY
LNT,Alliant Energy,Utilities,S&P 500,18212157440,70.24,218474495.99999997,NMS,EQUITY
ALL,Allstate,Financials,S&P 500,64691179520,255.84,499154073.6,NYQ,EQUITY
GOOGL,Alphabet Inc. (Class A),Communication Services,S&P 500,4201472065536,343.54,10859522701.0,NMS,EQUITY
GOOG,Alphabet Inc. (Class C),Communication Services,S&P 500,4187162935296,342.37,6922122252.5,NMS,EQUITY
MO,Altria,Consumer Staples,S&P 500,107498102784,64.38,725916046.1999999,NYQ,EQUITY
AMZN,Amazon,Consumer Discretionary,S&P 500,2882965864448,267.28,16000372408.8,NMS,EQUITY
AMCR,Amcor,Materials,S&P 500,21526816768,46.56,194363788.8,NYQ,EQUITY
AEE,Ameren,Utilities,S&P 500,30126084096,108.82,196762883.0,NYQ,EQUITY
AEP,American Electric Power,Utilities,S&P 500,67859132416,124.65,557431060.5,NMS,EQUITY
AXP,American Express,Financials,S&P 500,232360591360,344.08,812169872.8,NYQ,EQUITY
AIG,American International Group,Financials,S&P 500,39813087232,76.14,260560216.8,NYQ,EQUITY
AMT,American Tower,Real Estate,S&P 500,79413567488,170.43,484527377.1,NYQ,EQUITY
AWK,American Water Works,Utilities,S&P 500,26812514304,134.92,333951285.59999996,NYQ,EQUITY
AMP,Ameriprise Financial,Financials,S&P 500,49952190464,565.07,243511265.8,NYQ,EQUITY
AME,Ametek,Industrials,S&P 500,59253559296,258.52,333919943.2,NYQ,EQUITY
AMGN,Amgen,Health Care,S&P 500,224615792640,416.18,1176182945.2,NMS,EQUITY
APH,Amphenol,Information Technology,S&P 500,209557864448,169.96,1150722678.0,NYQ,EQUITY
ADI,Analog Devices,Information Technology,S&P 500,187250868224,384.43,1380280537.8,NMS,EQUITY
AON,Aon plc,Financials,S&P 500,74744520704,352.36,470897427.6,NYQ,EQUITY
APA,APA Corporation,Energy,S&P 500,14003550208,39.97,254594510.79999998,NMS,EQUITY
APO,Apollo Global Management,Financials,S&P 500,81855184896,138.61,612521748.3000001,NYQ,EQUITY
AAPL,Apple Inc.,Information Technology,S&P 500,4411090796544,302.25,18233337037.5,NMS,EQUITY
AMAT,Applied Materials,Information Technology,S&P 500,435208880128,548.15,3756159504.5,NMS,EQUITY
APP,AppLovin,Communication Services,S&P 500,101653446656,303.76,2797447344.0,NMS,EQUITY
APTV,Aptiv,Consumer Discretionary,S&P 500,10259362816,48.48,291315835.2,NYQ,EQUITY
ACGL,Arch Capital Group,Financials,S&P 500,33175889920,97.29,164746021.5,NMS,EQUITY
ADM,Archer Daniels Midland,Consumer Staples,S&P 500,38426394624,79.73,369991848.8,NYQ,EQUITY
ARES,Ares Management,Financials,S&P 500,46953668608,142.35,377106502.5,NYQ,EQUITY
ANET,Arista Networks,Information Technology,S&P 500,265487794176,210.5,2002196010.0,NYQ,EQUITY
AJG,Arthur J. Gallagher & Co.,Financials,S&P 500,65484869632,255.46,368897013.0,NYQ,EQUITY
AIZ,Assurant,Financials,S&P 500,13865896960,281.12,127487920.0,NYQ,EQUITY
T,AT&T,Communication Services,S&P 500,166170361856,24.25,1156068310.0,NYQ,EQUITY
ATO,Atmos Energy,Utilities,S&P 500,28658769920,169.59,182405916.3,NYQ,EQUITY
ADSK,Autodesk,Information Technology,S&P 500,52682850304,249.51,457958139.3,NMS,EQUITY
ADP,Automatic Data Processing,Industrials,S&P 500,106994769920,269.33,641511740.4,NMS,EQUITY
AZO,AutoZone,Consumer Discretionary,S&P 500,49724911616,3045.87,461571139.8,NYQ,EQUITY
AVB,AvalonBay Communities,Real Estate,S&P 500,25673646080,179.79,162673992.0,NYQ,EQUITY
AVY,Avery Dennison,Materials,S&P 500,13847054336,181.03,174158101.2,NYQ,EQUITY
AXON,Axon Enterprise,Industrials,S&P 500,48724578304,599.78,712448673.0,NMS,EQUITY
BKR,Baker Hughes,Energy,S&P 500,63809085440,64.28,419143525.2,NMS,EQUITY
BALL,Ball Corporation,Materials,S&P 500,16544558080,62.14,127509415.8,NYQ,EQUITY
BAC,Bank of America,Financials,S&P 500,453200019456,64.81,1655421738.9,NYQ,EQUITY
BAX,Baxter International,Health Care,S&P 500,13933042688,26.95,268919766.5,NYQ,EQUITY
BDX,Becton Dickinson,Health Care,S&P 500,50004770816,183.58,374840987.20000005,NYQ,EQUITY
BRK-B,Berkshire Hathaway,Financials,S&P 500,1091761995776,510.0,2252557800.0,NYQ,EQUITY
BBY,Best Buy,Consumer Discretionary,S&P 500,17493671936,83.0,284862640.0,NYQ,EQUITY
TECH,Bio-Techne,Health Care,S&P 500,11254204416,72.23,253118478.20000002,NMS,EQUITY
BIIB,Biogen,Health Care,S&P 500,30861377536,208.87,190911357.4,NMS,EQUITY
BLK,BlackRock,Financials,S&P 500,188620242944,1160.91,684727936.2,NYQ,EQUITY
BX,Blackstone Inc.,Financials,S&P 500,175003549696,146.41,739090856.9,NYQ,EQUITY
XYZ,"Block, Inc.",Financials,S&P 500,47030231040,78.28,435675168.0,NYQ,EQUITY
BNY,BNY Mellon,Financials,S&P 500,110548672512,162.93,414953382.6,NYQ,EQUITY
BA,Boeing,Industrials,S&P 500,182600024064,231.2,1376604104.0,NYQ,EQUITY
BKNG,Booking Holdings,Consumer Discretionary,S&P 500,164475699200,212.26,1391406752.0,NMS,EQUITY
BSX,Boston Scientific,Health Care,S&P 500,74519379968,51.42,971837485.8000001,NYQ,EQUITY
BMY,Bristol Myers Squibb,Health Care,S&P 500,130120925184,63.7,932471176.0,NYQ,EQUITY
AVGO,Broadcom,Information Technology,S&P 500,1979391279104,416.05,7446109257.5,NMS,EQUITY
BR,Broadridge Financial Solutions,Industrials,S&P 500,19577481216,169.27,258742736.60000002,NYQ,EQUITY
BRO,Brown & Brown,Financials,S&P 500,23777411072,71.06,162758666.4,NYQ,EQUITY
BF-B,Brown–Forman,Consumer Staples,S&P 500,12811490304,27.92,53232830.400000006,NYQ,EQUITY
BLDR,Builders FirstSource,Industrials,S&P 500,7791059968,72.41,176093879.0,NYQ,EQUITY
BG,Bunge Global,Consumer Staples,S&P 500,21469310976,111.75,173380125.0,NYQ,EQUITY
BXP,"BXP, Inc.",Real Estate,S&P 500,12290620416,67.95,88636018.5,NYQ,EQUITY
CHRW,C.H. Robinson,Industrials,S&P 500,17142078464,146.7,377693820.0,NMS,EQUITY
CDNS,Cadence Design Systems,Information Technology,S&P 500,89124421632,323.13,638527499.1,NMS,EQUITY
CPT,Camden Property Trust,Real Estate,S&P 500,10896454656,108.38,112032406.0,NYQ,EQUITY
COF,Capital One,Financials,S&P 500,136466948096,222.44,698588390.8,NYQ,EQUITY
CAH,Cardinal Health,Health Care,S&P 500,54459932672,234.16,494344542.4,NYQ,EQUITY
CCL,Carnival Corporation,Consumer Discretionary,S&P 500,37898190848,27.67,480549593.90000004,NYQ,EQUITY
CARR,Carrier Global,Industrials,S&P 500,52393013248,63.08,405256829.2,NYQ,EQUITY
CVNA,Carvana,Consumer Discretionary,S&P 500,107855486976,72.48,823585891.2,NYQ,EQUITY
CASY,Casey's,Consumer Staples,S&P 500,31048232960,839.03,238544619.29999998,NMS,EQUITY
CAT,Caterpillar Inc.,Industrials,S&P 500,393297821696,855.6,2685497388.0,NYQ,EQUITY
CBRE,CBRE Group,Real Estate,S&P 500,42683396096,147.4,243286648.0,NYQ,EQUITY
CDW,CDW Corporation,Information Technology,S&P 500,17086131200,136.67,306038297.5,NMS,EQUITY
COR,Cencora,Health Care,S&P 500,59952173056,314.17,576511375.1,NYQ,EQUITY
CNC,Centene Corporation,Health Care,S&P 500,33132244992,67.07,332555193.09999996,NYQ,EQUITY
CNP,CenterPoint Energy,Utilities,S&P 500,26697930752,40.53,291634425.6,NYQ,EQUITY
CF,CF Industries,Materials,S&P 500,18162089984,120.01,300268620.3,NYQ,EQUITY
CRL,Charles River Laboratories,Health Care,S&P 500,13575502848,284.37,292210080.9,NYQ,EQUITY
SCHW,Charles Schwab Corporation,Financials,S&P 500,189085564928,109.34,775028161.6,NYQ,EQUITY
CHTR,Charter Communications,Communication Services,S&P 500,20246274048,150.22,341383963.2,NMS,EQUITY
CVX,Chevron Corporation,Energy,S&P 500,385651212288,196.6,1645500714.0,NYQ,EQUITY
CMG,Chipotle Mexican Grill,Consumer Discretionary,S&P 500,41303240704,32.64,743878329.6,NYQ,EQUITY
CB,Chubb Limited,Financials,S&P 500,132456660992,343.33,483188908.79999995,NYQ,EQUITY
CHD,Church & Dwight,Consumer Staples,S&P 500,24014522368,101.24,217691310.0,NYQ,EQUITY
CIEN,Ciena,Information Technology,S&P 500,61157941248,432.05,876110990.0,NYQ,EQUITY
CI,Cigna,Health Care,S&P 500,73302949888,277.41,658499213.4000001,NYQ,EQUITY
CINF,Cincinnati Financial,Financials,S&P 500,26470359040,172.47,109532247.6,NMS,EQUITY
CTAS,Cintas,Industrials,S&P 500,81438507008,203.51,424696878.59999996,NMS,EQUITY
CSCO,Cisco,Information Technology,S&P 500,488264925184,123.88,2607392792.4,NMS,EQUITY
C,Citigroup,Financials,S&P 500,230781763584,137.58,1232503551.0,NYQ,EQUITY
