ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type,profit_margin,free_cash_flow,roe,revenue_growth,current_ratio,exclusion_reasons
AOS,A. O. Smith,Industrials,S&P 500,8506518016,62.59,114860786.7,NYQ,EQUITY,0.13149,484612512.0,0.27133,-0.007,1.594,revenue_growth=-0.007
ABBV,AbbVie,Health Care,S&P 500,439588093952,248.76,1400401882.8,NYQ,EQUITY,0.098000005,16870250496.0,,0.102,0.809,roe=None; current_ratio=0.809
ADBE,Adobe Inc.,Information Technology,S&P 500,102853124096,258.75,1230715912.5,NMS,EQUITY,0.28689,9218374656.0,0.62953997,0.127,0.751,current_ratio=0.751
AES,AES Corporation,Utilities,S&P 500,10490549248,14.71,113303333.7,NYQ,EQUITY,0.1434,-3089125120.0,0.095740005,0.199,0.746,free_cash_flow=-3089125120; roe=0.095740005; current_ratio=0.746
AFL,Aflac,Financials,S&P 500,60527177728,120.73,259954628.7,NYQ,EQUITY,0.26908,5152249856.0,0.16908,-0.01,0.892,revenue_growth=-0.01; current_ratio=0.892
APD,Air Products,Materials,S&P 500,67711991808,304.07,314827996.6,NYQ,EQUITY,-0.00375,-3762062592.0,0.00023,0.046,1.085,profit_margin=-0.00375; free_cash_flow=-3762062592; roe=0.00023
AKAM,Akamai Technologies,Information Technology,S&P 500,17645524992,122.78,519920504.6,NMS,EQUITY,0.09507,710060096.0,0.08918,0.054,1.637,roe=0.08918
ALB,Albemarle Corporation,Materials,S&P 500,15144768512,128.34,328880233.8,NYQ,EQUITY,0.03795,1334340224.0,0.02648,0.311,2.086,roe=0.02648
ARE,Alexandria Real Estate Equities,Real Estate,S&P 500,8270899200,48.06,98349984.0,NYQ,EQUITY,-0.36078998,1344973952.0,-0.040760003,-0.119,2.35,profit_margin=-0.36078998; roe=-0.040760003; revenue_growth=-0.119
LNT,Alliant Energy,Utilities,S&P 500,18212157440,70.24,218474496.0,NMS,EQUITY,0.18447,-1138625024.0,0.11135,0.01,0.466,free_cash_flow=-1138625024; current_ratio=0.466
ALL,Allstate,Financials,S&P 500,64691179520,255.84,499154073.6,NYQ,EQUITY,0.18971,15158625280.0,0.46113998,0.118,0.363,current_ratio=0.363
MO,Altria,Consumer Staples,S&P 500,107498102784,64.38,725916046.1999999,NYQ,EQUITY,0.38999,9035249664.0,,0.012,0.518,roe=None; current_ratio=0.518
AMCR,Amcor,Materials,S&P 500,21526816768,46.56,194363788.8,NYQ,EQUITY,0.04705,6607875072.0,0.09396,0.259,0.737,roe=0.09396; current_ratio=0.737
AEE,Ameren,Utilities,S&P 500,30126084096,108.82,196762883.0,NYQ,EQUITY,0.18583,-1786249984.0,0.11943,-0.062,0.531,free_cash_flow=-1786249984; revenue_growth=-0.062; current_ratio=0.531
AEP,American Electric Power,Utilities,S&P 500,67859132416,124.65,557431060.5,NMS,EQUITY,0.13781999,-5995950080.0,0.10130999,0.07,0.504,free_cash_flow=-5995950080; current_ratio=0.504
