ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type,profit_margin,free_cash_flow,roe,revenue_growth,current_ratio
MMM,3M,Industrials,S&P 500,94779465728,183.78,475063948.8,NYQ,EQUITY,0.11902001,6350125056,0.81891996,0.025,1.24
ABT,Abbott Laboratories,Health Care,S&P 500,193184497664,110.91,865188946.1999999,NYQ,EQUITY,0.116450004,7209124864,0.10576,0.13,1.376
ACN,Accenture,Information Technology,S&P 500,110235246592,180.14,1049358733.6,NYQ,EQUITY,0.10656,12089380864,0.24406,0.056,1.339
AMD,Advanced Micro Devices,Information Technology,S&P 500,788371144704,482.93,14180838618.1,NMS,EQUITY,0.15577,8841499648,0.10196,0.501,2.609
A,Agilent Technologies,Health Care,S&P 500,41867710464,148.24,227785584.0,NYQ,EQUITY,0.19552,930625024,0.21330999,0.1,2.099
ABNB,Airbnb,Consumer Discretionary,S&P 500,107838308352,180.095,1129719726.45,NMS,EQUITY,0.2045,3206874880,0.34542,0.165,1.408
ALGN,Align Technology,Health Care,S&P 500,12362000384,174.015,168014962.79999998,NMS,EQUITY,0.09991,584361344,0.10155,0.043,1.395
ALLE,Allegion,Industrials,S&P 500,14125460480,166.11,174980274.0,NYQ,EQUITY,0.15357,484449984,0.3373,0.127,1.93
GOOGL,Alphabet Inc. (Class A),Communication Services,S&P 500,4201472065536,343.54,10859522701.0,NMS,EQUITY,0.54771,22665000960,0.48676,0.242,2.724
GOOG,Alphabet Inc. (Class C),Communication Services,S&P 500,4187162935296,342.37,6922122252.5,NMS,EQUITY,0.54771,22665000960,0.48676,0.242,2.724
AMZN,Amazon,Consumer Discretionary,S&P 500,2882965864448,267.28,16000372408.8,NMS,EQUITY,0.1744,3219124992,0.30558002,0.196,1.033
AMP,Ameriprise Financial,Financials,S&P 500,49952190464,565.07,243511265.8,NYQ,EQUITY,0.199,2903124992,0.63432,0.116,2.182
AME,Ametek,Industrials,S&P 500,59253559296,258.52,333919943.2,NYQ,EQUITY,0.20044,1492221312,0.14562,0.15,1.214
AMGN,Amgen,Health Care,S&P 500,224615792640,416.18,1176182945.2,NMS,EQUITY,0.22951001,8645624832,0.91473,0.095,1.371
APH,Amphenol,Information Technology,S&P 500,209557864448,169.96,1150722678.0,NYQ,EQUITY,0.17729001,3818374912,0.38115,0.55,1.888
AON,Aon plc,Financials,S&P 500,74744520704,352.36,470897427.6,NYQ,EQUITY,0.22268,3190874880,0.44699,0.022,1.033
AAPL,Apple Inc.,Information Technology,S&P 500,4411090796544,302.25,18233337037.5,NMS,EQUITY,0.27618998,107721875456,1.4875101,0.164,1.003
AMAT,Applied Materials,Information Technology,S&P 500,435208880128,548.15,3756159504.5,NMS,EQUITY,0.29314,3040375040,0.39692003,0.114,2.508
APP,AppLovin,Communication Services,S&P 500,101653446656,303.76,2797447344.0,NMS,EQUITY,0.64575994,3179956224,2.03686,0.528,4.3
ANET,Arista Networks,Information Technology,S&P 500,265487794176,210.5,2002196010.0,NYQ,EQUITY,0.38371,3891512576,0.31476,0.377,2.957
ADP,Automatic Data Processing,Industrials,S&P 500,106994769920,269.33,641511740.4,NMS,EQUITY,0.20109,5243049984,0.72239,0.068,1.051
AVY,Avery Dennison,Materials,S&P 500,13847054336,181.03,174158101.2,NYQ,EQUITY,0.076220006,1004600000,0.3116,0.109,1.132
BALL,Ball Corporation,Materials,S&P 500,16544558080,62.14,127509415.8,NYQ,EQUITY,0.0661,379875008,0.17151,0.197,1.069
BRK-B,Berkshire Hathaway,Financials,S&P 500,1091761995776,510.0,2252557800.0,NYQ,EQUITY,0.22296,71975247872,0.121199995,0.1,2.891
BBY,Best Buy,Consumer Discretionary,S&P 500,17493671936,83.0,284862640.0,NYQ,EQUITY,0.027309999,1143750016,0.39104,0.019,1.121
BLK,BlackRock,Financials,S&P 500,188620242944,1160.91,684727936.2,NYQ,EQUITY,0.24089001,7578124800,0.122779995,0.306,2.447
BA,Boeing,Industrials,S&P 500,182600024064,231.2,1376604104.0,NYQ,EQUITY,0.025910001,5625375232,1.73537,0.08,1.138
BSX,Boston Scientific,Health Care,S&P 500,74519379968,51.42,971837485.8,NYQ,EQUITY,0.17499,2451375104,0.15338999,0.075,1.24
BMY,Bristol Myers Squibb,Health Care,S&P 500,130120925184,63.7,932471176.0,NYQ,EQUITY,0.18871,8114375168,0.46598998,0.057,1.532
AVGO,Broadcom,Information Technology,S&P 500,1979391279104,416.05,7446109257.5,NMS,EQUITY,0.38848,27212249088,0.37280998,0.479,2.238
BR,Broadridge Financial Solutions,Industrials,S&P 500,19577481216,169.27,258742736.6,NYQ,EQUITY,0.15037,1194499968,0.40916002,0.075,1.236
BRO,Brown & Brown,Financials,S&P 500,23777411072,71.06,162758666.4,NYQ,EQUITY,0.18084998,1642749952,0.10023,0.324,1.127
BF-B,Brown–Forman,Consumer Staples,S&P 500,12811490304,27.92,53232830.400000006,NYQ,EQUITY,0.18202999,739625024,0.17846,0.02,3.239
CHRW,C.H. Robinson,Industrials,S&P 500,17142078464,146.7,377693820.0,NMS,EQUITY,0.03726,480618368,0.37123,0.193,1.582
CDNS,Cadence Design Systems,Information Technology,S&P 500,89124421632,323.13,638527499.1,NMS,EQUITY,0.23605,1609676544,0.23229,0.242,1.743
CVNA,Carvana,Consumer Discretionary,S&P 500,107855486976,72.48,823585891.2,NYQ,EQUITY,0.06257,424375008,0.58773,0.524,3.926
CASY,Casey's,Consumer Staples,S&P 500,31048232960,839.03,238544619.3,NMS,EQUITY,0.04068,550939648,0.19153,0.145,1.01
CAT,Caterpillar Inc.,Industrials,S&P 500,393297821696,855.6,2685497388.0,NYQ,EQUITY,0.14511,5048999936,0.56972003,0.24,1.368
CBRE,CBRE Group,Real Estate,S&P 500,42683396096,147.4,243286648.0,NYQ,EQUITY,0.029760001,1637624960,0.15798001,0.155,1.141
CDW,CDW Corporation,Information Technology,S&P 500,17086131200,136.67,306038297.5,NMS,EQUITY,0.04597,676787520,0.44009998,0.1,1.167
CF,CF Industries,Materials,S&P 500,18162089984,120.01,300268620.3,NYQ,EQUITY,0.27122,1276749952,0.29867,0.176,4.86
CVX,Chevron Corporation,Energy,S&P 500,385651212288,196.6,1645500714.0,NYQ,EQUITY,0.09834,21934000128,0.12231,0.535,1.252
CHD,Church & Dwight,Consumer Staples,S&P 500,24014522368,101.24,217691310.0,NYQ,EQUITY,0.119569995,939262528,0.17041,0.016,1.147
CIEN,Ciena,Information Technology,S&P 500,61157941248,432.05,876110990.0,NYQ,EQUITY,0.0787,700927872,0.15464,0.395,2.727
CINF,Cincinnati Financial,Financials,S&P 500,26470359040,172.47,109532247.6,NMS,EQUITY,0.23843001,2984875008,0.21484,0.316,1.151
CTAS,Cintas,Industrials,S&P 500,81438507008,203.51,424696878.6,NMS,EQUITY,0.17754,1464424832,0.40714002,0.089,1.434
